id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
299534,Avengers: Endgame,"Adventure,Science Fiction,Action",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",284.068,2019-04-24,8.3,21448
29259,Le Trou,"Crime,Drama,Thriller,History",fr,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",9.29,1960-03-18,8.3,334
637920,Miracle in Cell No. 7,"Drama,Comedy",tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",49.021,2019-10-10,8.3,3968
265177,Mommy,Drama,fr,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",12.788,2014-09-19,8.3,2327
670,Oldboy,"Drama,Thriller,Mystery,Action",ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",29.817,2003-11-21,8.3,6806
537061,Steven Universe: The Movie,"Animation,Family,Fantasy,TV Movie,Science Fiction,Adventure,Music",en,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",58.206,2019-09-02,8.3,677
522924,The Art of Racing in the Rain,"Comedy,Drama,Romance",en,"A family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver.",19.229,2019-08-08,8.3,1082
791373,Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction",en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",325.801,2021-03-18,8.3,7943
508965,Klaus,"Animation,Family,Adventure,Comedy,Fantasy",en,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",20.474,2019-11-08,8.3,2986
290098,The Handmaiden,"Thriller,Drama,Romance",ko,A Japanese woman hires a handmaiden who is secretly working with a con man to cheat her out of her wealth.,45.016,2016-06-01,8.3,2744
299536,Avengers: Infinity War,"Adventure,Action,Science Fiction",en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",475.535,2018-04-25,8.3,25020
77338,The Intouchables,"Drama,Comedy",fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,86.109,2011-11-02,8.3,14800
532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Animation,Adventure,Comedy,Fantasy",ja,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",132.022,2019-08-30,8.3,402
545611,Everything Everywhere All at Once,"Action,Adventure,Science Fiction",en,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",309.567,2022-03-24,8.3,1059
